Gender,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Segmentation
Male,57,Yes,Artist,0.0,Average,4.0,B
Male,27,Yes,Healthcare,8.0,Low,2.0,D
Female,51,Yes,Entertainment,8.0,Average,2.0,A
Female,47,No,Artist,0.0,Average,5.0,B
Female,33,No,Healthcare,8.0,Low,4.0,D
Male,56,Yes,Artist,0.0,Average,4.0,C
Female,33,No,Homemaker,0.0,Low,3.0,B
Female,36,Yes,Doctor,0.0,Low,2.0,D
Male,51,No,Artist,4.0,Low,3.0,A
Male,45,Yes,Engineer,2.0,Average,2.0,C
Male,30,No,Healthcare,0.0,Low,4.0,C
Female,26,No,Healthcare,6.0,Low,3.0,D
Male,63,Yes,Artist,8.0,Low,1.0,A
Male,35,No,Entertainment,8.0,Average,4.0,B
Female,19,No,Marketing,1.0,Low,3.0,A
Male,32,No,Healthcare,7.0,Low,5.0,D
Male,52,Yes,Artist,0.0,Average,3.0,C
Female,36,Yes,Artist,5.0,Low,2.0,C
Female,42,No,Entertainment,7.0,Low,3.0,D
Male,40,No,Doctor,0.0,Average,2.0,D
Male,39,Yes,Entertainment,0.0,Low,3.0,B
Female,47,Yes,Artist,1.0,Average,4.0,C
Female,61,Yes,Artist,1.0,High,2.0,C
Male,32,No,Entertainment,1.0,Low,2.0,D
Male,55,No,Artist,0.0,Low,1.0,B
Female,38,Yes,Artist,0.0,Low,1.0,D
Male,63,Yes,Artist,0.0,High,2.0,C
Male,58,Yes,Doctor,1.0,Average,2.0,C
Male,30,No,Engineer,3.0,Average,3.0,D
Male,60,Yes,Artist,0.0,Average,4.0,C
Male,68,No,Executive,1.0,High,7.0,B
Male,52,No,Artist,0.0,Low,3.0,A
Male,38,No,Executive,0.0,High,5.0,A
Female,35,Yes,Healthcare,10.0,Low,2.0,B
Male,18,No,Doctor,1.0,Low,2.0,D
Male,30,Yes,Homemaker,3.0,Low,2.0,D
Male,86,No,Lawyer,1.0,Low,1.0,D
Male,25,No,Healthcare,9.0,Low,3.0,D
Female,39,Yes,Artist,0.0,Low,1.0,A
Male,47,Yes,Artist,1.0,Low,1.0,C
Male,43,Yes,Executive,0.0,High,3.0,D
Male,36,No,Executive,8.0,Average,4.0,B
Male,80,No,Lawyer,1.0,Low,1.0,D
Male,36,Yes,Artist,0.0,Low,2.0,C
Female,37,Yes,Artist,1.0,High,2.0,A
Male,46,Yes,Executive,0.0,High,3.0,C
Male,55,No,Executive,1.0,High,4.0,B
Female,47,No,Engineer,9.0,Average,4.0,B
Female,28,Yes,Healthcare,1.0,Low,3.0,D
Male,39,No,Entertainment,9.0,Low,2.0,D
Female,27,No,Marketing,1.0,Low,2.0,A
Male,72,Yes,Artist,0.0,Average,2.0,C
Female,28,Yes,Engineer,0.0,Low,2.0,A
Male,35,Yes,Entertainment,8.0,Low,5.0,C
Male,39,Yes,Executive,9.0,High,5.0,A
Female,69,Yes,Lawyer,0.0,High,2.0,C
Male,18,No,Healthcare,6.0,Low,4.0,D
Female,50,Yes,Engineer,1.0,High,2.0,B
Male,30,No,Executive,5.0,Low,5.0,A
Female,39,Yes,Artist,3.0,Low,4.0,D
Female,29,No,Marketing,8.0,Low,4.0,D
Female,37,Yes,Artist,4.0,Low,4.0,B
Female,39,Yes,Engineer,0.0,Average,2.0,A
Female,48,Yes,Artist,0.0,Average,5.0,C
Female,32,Yes,Doctor,0.0,Low,3.0,C
Female,43,No,Engineer,0.0,Average,5.0,B
Male,29,No,Marketing,8.0,Low,5.0,C
Female,28,No,Engineer,9.0,Average,2.0,A
Male,80,Yes,Lawyer,1.0,Low,1.0,B
Female,28,Yes,Healthcare,7.0,Low,4.0,D
Male,71,Yes,Artist,6.0,Average,3.0,C
Male,67,No,Lawyer,0.0,High,9.0,A
Female,26,No,Engineer,0.0,Low,1.0,A
Female,47,Yes,Engineer,0.0,Average,2.0,C
Female,43,Yes,Artist,2.0,Average,2.0,B
Female,27,Yes,Healthcare,0.0,Low,4.0,C
Female,45,Yes,Marketing,8.0,Low,4.0,D
Male,76,No,Executive,1.0,Low,1.0,C
Female,43,Yes,Artist,3.0,Average,4.0,C
Female,78,Yes,Lawyer,1.0,High,2.0,B
Male,35,Yes,Artist,3.0,Average,3.0,C
Female,49,Yes,Artist,1.0,Low,1.0,C
Female,25,Yes,Healthcare,1.0,Low,5.0,D
Male,37,No,Executive,0.0,Average,5.0,A
Female,32,No,Healthcare,1.0,Low,5.0,C
Male,60,Yes,Doctor,0.0,Average,2.0,C
Female,45,Yes,Artist,5.0,Average,3.0,C
Female,49,Yes,Homemaker,9.0,Average,3.0,C
Male,32,Yes,Artist,0.0,Low,5.0,D
Female,40,Yes,Artist,0.0,Low,3.0,B
Male,59,No,Artist,2.0,Average,2.0,C
Male,48,Yes,Artist,3.0,Low,5.0,B
Male,82,Yes,Executive,0.0,High,2.0,C
Female,70,Yes,Lawyer,0.0,Low,2.0,B
Male,31,Yes,Artist,5.0,Low,2.0,B
Female,72,Yes,Lawyer,0.0,High,2.0,C
Male,50,Yes,Artist,3.0,Average,4.0,C
Female,23,No,Engineer,11.0,Low,1.0,D
Female,20,No,Healthcare,2.0,Low,6.0,D
Female,22,No,Healthcare,4.0,Low,3.0,D
Female,31,Yes,Engineer,8.0,Low,1.0,A
Female,36,Yes,Artist,7.0,Average,2.0,C
Male,40,Yes,Artist,4.0,Average,4.0,C
Female,40,Yes,Artist,1.0,Low,1.0,A
Female,21,No,Doctor,1.0,Low,3.0,A
Female,41,No,Engineer,4.0,Average,2.0,D
Male,40,Yes,Artist,0.0,Low,2.0,B
Male,53,Yes,Artist,1.0,Average,3.0,B
Female,42,Yes,Artist,5.0,Low,2.0,C
Male,42,No,Executive,8.0,Low,2.0,D
Male,59,Yes,Artist,7.0,Low,2.0,C
Male,41,Yes,Executive,1.0,Average,3.0,A
Female,31,Yes,Artist,0.0,Average,2.0,A
Female,49,Yes,Artist,1.0,High,5.0,B
Male,67,Yes,Executive,1.0,Low,2.0,A
Male,35,No,Artist,4.0,Average,2.0,B
Female,26,Yes,Healthcare,0.0,Low,3.0,C
Female,25,No,Engineer,6.0,Average,8.0,D
Female,39,Yes,Healthcare,4.0,Low,2.0,A
Male,63,Yes,Entertainment,0.0,Low,2.0,A
Male,23,No,Healthcare,8.0,Low,3.0,D
Female,23,No,Healthcare,0.0,Low,3.0,D
Female,53,Yes,Artist,2.0,Low,1.0,C
Male,33,Yes,Doctor,0.0,Low,2.0,B
Female,69,Yes,Engineer,0.0,Low,2.0,B
Male,37,Yes,Artist,2.0,Low,1.0,B
Female,20,No,Marketing,3.0,Low,4.0,C
Female,49,Yes,Doctor,1.0,Average,4.0,C
Male,18,No,Healthcare,0.0,Low,3.0,D
Female,52,Yes,Doctor,0.0,Average,2.0,C
Male,28,Yes,Engineer,0.0,Average,2.0,A
Female,28,Yes,Artist,7.0,Low,3.0,A
Male,20,No,Healthcare,0.0,Low,5.0,D
Female,27,No,Homemaker,8.0,Low,1.0,D
Male,45,Yes,Artist,4.0,Average,4.0,B
Male,25,Yes,Healthcare,1.0,Low,4.0,B
Male,40,No,Marketing,1.0,Low,1.0,D
Female,23,No,Healthcare,0.0,Low,4.0,D
Female,67,Yes,Lawyer,0.0,High,2.0,B
Male,21,No,Healthcare,0.0,Low,4.0,D
Female,38,Yes,Artist,9.0,Low,1.0,A
Male,28,No,Healthcare,0.0,Low,4.0,C
Female,32,No,Healthcare,1.0,Low,5.0,B
Female,56,No,Lawyer,1.0,High,4.0,B
Female,53,Yes,Artist,1.0,Low,2.0,C
Male,57,No,Executive,1.0,High,5.0,C
Female,59,Yes,Artist,0.0,Average,3.0,C
Female,25,Yes,Healthcare,1.0,High,4.0,A
Male,59,Yes,Artist,0.0,Average,6.0,C
Female,36,Yes,Artist,0.0,Low,4.0,C
Male,37,Yes,Entertainment,7.0,Low,2.0,A
Male,22,No,Doctor,1.0,Low,3.0,D
Male,43,Yes,Artist,1.0,Low,2.0,B
Male,41,Yes,Artist,1.0,Low,2.0,A
Female,21,No,Engineer,0.0,Low,5.0,B
Male,38,Yes,Doctor,8.0,Low,1.0,B
Male,70,Yes,Lawyer,1.0,High,3.0,C
Female,31,No,Engineer,1.0,Low,4.0,B
Female,82,No,Lawyer,0.0,Average,2.0,A
Male,38,Yes,Artist,8.0,Low,3.0,A
Male,18,No,Executive,0.0,High,4.0,A
Male,50,Yes,Artist,6.0,Average,3.0,C
Female,72,No,Lawyer,1.0,High,3.0,D
Female,25,No,Homemaker,1.0,Low,7.0,B
Female,75,No,Entertainment,2.0,High,2.0,D
Male,72,Yes,Artist,1.0,Low,1.0,B
Female,72,Yes,Artist,0.0,Average,3.0,C
Male,36,Yes,Entertainment,6.0,Low,6.0,A
Male,40,Yes,Artist,1.0,Low,2.0,A
Female,28,Yes,Entertainment,0.0,Low,4.0,C
Female,28,Yes,Doctor,0.0,Low,3.0,D
Male,43,Yes,Artist,0.0,Low,2.0,B
Female,35,Yes,Artist,1.0,Average,2.0,B
Male,65,Yes,Lawyer,1.0,High,2.0,B
Male,52,Yes,Executive,7.0,High,4.0,C
Female,40,Yes,Artist,1.0,Low,1.0,B
Female,69,No,Engineer,9.0,Low,3.0,A
Female,22,No,Healthcare,3.0,Low,3.0,D
Male,47,Yes,Executive,1.0,Average,4.0,C
Male,29,Yes,Marketing,1.0,High,2.0,A
Male,46,Yes,Artist,1.0,Average,3.0,C
Male,32,Yes,Artist,1.0,Low,2.0,A
Female,38,Yes,Healthcare,0.0,Low,1.0,C
Male,59,Yes,Artist,0.0,Low,1.0,B
Female,26,Yes,Entertainment,1.0,Low,1.0,D
Male,26,Yes,Healthcare,1.0,Low,2.0,A
Male,28,No,Marketing,0.0,Low,1.0,D
Female,53,Yes,Engineer,1.0,Average,3.0,C
Male,27,No,Doctor,1.0,Low,3.0,D
Male,26,No,Engineer,0.0,Low,4.0,D
Female,31,No,Entertainment,0.0,Low,2.0,D
Male,39,Yes,Executive,1.0,High,3.0,B
Female,43,No,Engineer,1.0,Low,3.0,A
Male,25,No,Doctor,1.0,Low,2.0,A
Male,40,Yes,Artist,3.0,High,3.0,A
Female,40,Yes,Entertainment,7.0,Average,2.0,B
Male,27,Yes,Healthcare,1.0,Low,3.0,D
Female,19,No,Healthcare,1.0,Low,2.0,D
Female,86,Yes,Lawyer,0.0,High,2.0,B
Female,27,Yes,Artist,4.0,Average,2.0,C
Female,70,No,Doctor,0.0,Average,2.0,B
Female,53,No,Engineer,8.0,Average,4.0,B
Male,43,No,Executive,0.0,High,4.0,A
Male,36,No,Doctor,6.0,Low,3.0,A
Male,74,Yes,Lawyer,0.0,Low,2.0,C
Female,30,No,Homemaker,0.0,Low,4.0,D
Female,37,Yes,Artist,5.0,Low,2.0,B
Female,22,No,Marketing,0.0,Low,1.0,B
Male,19,No,Healthcare,0.0,Low,4.0,D
Male,70,Yes,Engineer,4.0,High,2.0,B
Male,89,Yes,Lawyer,13.0,Low,1.0,A
Male,25,Yes,Doctor,6.0,Low,1.0,D
Female,45,Yes,Artist,4.0,Low,1.0,A
Female,35,Yes,Artist,3.0,Low,1.0,A
Female,37,No,Engineer,7.0,Low,1.0,D
Female,39,No,Engineer,4.0,Average,2.0,B
Female,32,Yes,Healthcare,1.0,Low,5.0,D
Female,62,Yes,Artist,2.0,Average,3.0,C
Female,58,Yes,Engineer,0.0,Average,4.0,B
Male,25,No,Healthcare,0.0,Low,5.0,C
Female,56,Yes,Artist,0.0,Average,4.0,C
Female,36,Yes,Entertainment,10.0,Low,2.0,A
Female,30,No,Healthcare,8.0,Low,3.0,A
Male,19,No,Healthcare,1.0,Low,5.0,D
Male,27,Yes,Healthcare,0.0,Low,2.0,A
Female,38,Yes,Doctor,14.0,Low,1.0,A
Male,46,Yes,Artist,8.0,Average,2.0,C
Male,29,Yes,Artist,3.0,Low,1.0,B
Male,51,No,Entertainment,1.0,Average,4.0,B
Male,55,No,Artist,0.0,Low,1.0,A
Female,69,Yes,Engineer,1.0,Low,1.0,A
Female,26,No,Healthcare,1.0,Low,8.0,C
Female,83,Yes,Lawyer,0.0,Low,3.0,A
Female,39,Yes,Healthcare,9.0,Low,1.0,D
Male,35,Yes,Artist,9.0,Low,1.0,A
Male,19,No,Marketing,2.0,High,5.0,C
Female,29,No,Healthcare,1.0,Low,3.0,B
Female,26,No,Doctor,0.0,Low,1.0,D
Male,36,Yes,Engineer,8.0,Low,1.0,A
Female,22,No,Homemaker,0.0,Low,4.0,D
Male,19,No,Marketing,0.0,Low,5.0,A
Female,20,Yes,Lawyer,1.0,Average,3.0,A
Male,43,Yes,Healthcare,3.0,Low,3.0,D
Male,43,Yes,Entertainment,1.0,Low,2.0,A
Female,50,Yes,Engineer,4.0,High,3.0,B
Male,25,Yes,Entertainment,1.0,Low,2.0,A
Male,61,No,Artist,1.0,High,2.0,B
Female,28,Yes,Healthcare,0.0,Average,2.0,A
Male,38,Yes,Artist,1.0,Low,1.0,D
Male,25,No,Executive,12.0,Low,3.0,A
Female,18,No,Healthcare,9.0,Low,5.0,D
Male,43,Yes,Entertainment,1.0,Average,5.0,C
Female,27,Yes,Artist,8.0,Low,1.0,B
Female,60,Yes,Entertainment,1.0,Low,2.0,D
Male,75,Yes,Lawyer,2.0,Low,1.0,D
Male,23,No,Doctor,6.0,Low,4.0,D
Male,36,Yes,Artist,8.0,Low,1.0,A
Male,30,No,Doctor,1.0,Low,1.0,C
Male,56,No,Artist,1.0,Average,2.0,C
Female,52,Yes,Artist,2.0,Low,2.0,C
Male,39,Yes,Entertainment,0.0,Low,1.0,D
Female,35,No,Artist,5.0,Low,1.0,A
Male,33,No,Engineer,0.0,Average,2.0,B
Female,25,Yes,Artist,0.0,Low,6.0,A
Female,27,Yes,Artist,0.0,Average,2.0,B
Male,35,Yes,Artist,1.0,High,3.0,A
Female,41,Yes,Artist,1.0,Average,2.0,C
Female,46,No,Artist,8.0,Average,2.0,B
Female,26,Yes,Artist,9.0,Low,1.0,A
Male,43,Yes,Doctor,13.0,High,2.0,B
Female,30,Yes,Artist,8.0,Low,4.0,A
Female,70,Yes,Artist,1.0,Average,4.0,C
Female,89,No,Lawyer,3.0,High,1.0,D
Female,42,No,Homemaker,6.0,High,4.0,B
Female,37,Yes,Entertainment,6.0,Average,3.0,A
Male,29,No,Executive,1.0,Average,3.0,D
Female,68,Yes,Artist,1.0,High,2.0,C
Female,25,No,Engineer,1.0,Low,1.0,D
Female,48,Yes,Doctor,0.0,Low,2.0,C
Female,51,Yes,Doctor,1.0,Average,3.0,C
Female,40,Yes,Engineer,1.0,High,5.0,B
Male,47,Yes,Artist,0.0,Average,6.0,B
Male,35,Yes,Executive,1.0,Average,4.0,C
Female,19,No,Healthcare,2.0,Low,3.0,D
Male,46,Yes,Entertainment,0.0,Average,3.0,B
Male,86,Yes,Lawyer,0.0,Low,1.0,B
Male,66,Yes,Artist,0.0,High,2.0,B
Male,42,No,Marketing,1.0,Low,5.0,D
Female,73,Yes,Lawyer,1.0,High,2.0,B
Male,72,No,Engineer,1.0,Low,1.0,A
Male,53,Yes,Artist,0.0,Low,3.0,B
Female,39,Yes,Artist,8.0,Average,2.0,C
Female,27,No,Homemaker,9.0,Low,1.0,D
Female,23,No,Healthcare,1.0,Low,3.0,D
Female,30,Yes,Entertainment,0.0,Low,4.0,B
Female,39,Yes,Artist,5.0,Average,2.0,C
Male,26,Yes,Artist,1.0,Average,3.0,B
Female,50,Yes,Entertainment,7.0,Low,3.0,A
Female,45,Yes,Artist,1.0,Average,2.0,C
Female,62,No,Entertainment,2.0,Low,1.0,A
Female,27,Yes,Doctor,1.0,Low,3.0,A
Female,30,No,Engineer,1.0,Average,7.0,A
Male,32,No,Healthcare,7.0,Low,4.0,A
Male,47,No,Artist,3.0,Low,3.0,B
Female,32,Yes,Artist,4.0,Low,4.0,A
Female,32,No,Engineer,5.0,Low,3.0,A
Male,67,Yes,Doctor,1.0,Average,4.0,B
Female,77,Yes,Lawyer,0.0,High,2.0,C
Male,31,No,Entertainment,1.0,Low,1.0,A
Male,42,Yes,Artist,0.0,Low,3.0,A
Male,50,Yes,Artist,1.0,Average,4.0,C
Male,71,Yes,Artist,0.0,Average,5.0,C
Female,72,No,Lawyer,1.0,Low,3.0,A
Male,45,Yes,Artist,9.0,Average,2.0,C
Female,40,No,Engineer,9.0,Low,5.0,A
Female,36,Yes,Engineer,4.0,Low,1.0,A
Male,30,No,Healthcare,4.0,Low,4.0,D
Female,29,Yes,Healthcare,2.0,Low,4.0,B
Male,28,Yes,Engineer,0.0,Low,5.0,D
Female,40,Yes,Artist,1.0,Average,2.0,C
Female,52,Yes,Artist,14.0,Average,2.0,C
Male,26,No,Artist,6.0,Low,6.0,D
Female,55,Yes,Marketing,3.0,Low,1.0,B
Female,20,No,Doctor,4.0,Low,4.0,D
Female,87,Yes,Lawyer,0.0,High,2.0,C
Male,28,No,Healthcare,0.0,Low,2.0,A
Male,38,No,Artist,2.0,Low,2.0,A
Male,42,No,Entertainment,1.0,Low,2.0,B
Male,42,No,Marketing,0.0,High,6.0,A
Female,29,No,Engineer,1.0,Low,4.0,D
Male,32,Yes,Doctor,0.0,Low,4.0,A
Female,59,No,Artist,1.0,High,2.0,C
Male,22,No,Healthcare,0.0,Low,2.0,D
Female,78,Yes,Artist,1.0,High,2.0,C
Female,32,Yes,Healthcare,0.0,Low,3.0,A
Male,37,Yes,Artist,0.0,Average,4.0,C
Male,37,Yes,Healthcare,1.0,High,4.0,B
Male,47,No,Artist,0.0,High,4.0,B
Female,68,Yes,Lawyer,0.0,High,2.0,A
Male,30,Yes,Healthcare,3.0,Low,5.0,C
Female,48,Yes,Entertainment,2.0,Low,1.0,A
Female,43,Yes,Artist,6.0,Low,1.0,C
Male,33,Yes,Healthcare,9.0,Low,2.0,D
Male,31,No,Healthcare,0.0,Average,5.0,D
Male,32,Yes,Healthcare,1.0,Low,2.0,D
Female,21,No,Healthcare,1.0,Low,4.0,D
Female,29,No,Homemaker,2.0,Low,4.0,D
Female,35,Yes,Artist,1.0,Low,2.0,A
Male,46,No,Artist,0.0,Low,3.0,A
Female,38,Yes,Artist,9.0,High,2.0,B
Female,32,Yes,Healthcare,1.0,Low,3.0,C
Female,28,Yes,Artist,3.0,Low,7.0,A
Female,68,Yes,Lawyer,3.0,Low,1.0,A
Female,45,Yes,Artist,4.0,Low,1.0,C
Male,58,Yes,Artist,0.0,Average,3.0,C
Male,28,No,Entertainment,1.0,Low,2.0,A
Female,32,No,Healthcare,12.0,Low,3.0,A
Male,30,Yes,Doctor,1.0,Low,1.0,B
Female,42,No,Homemaker,3.0,Average,4.0,D
Female,18,No,Healthcare,6.0,Low,4.0,D
Female,29,Yes,Healthcare,8.0,Low,3.0,D
Female,33,Yes,Healthcare,0.0,Low,3.0,A
Female,57,Yes,Doctor,1.0,Low,2.0,A
Male,36,Yes,Executive,1.0,Low,3.0,D
Male,57,Yes,Executive,1.0,High,3.0,C
Male,18,No,Healthcare,1.0,Low,2.0,D
Male,52,Yes,Artist,1.0,Average,6.0,C
Female,37,Yes,Entertainment,0.0,Average,2.0,B
Male,36,Yes,Marketing,0.0,Low,1.0,A
Female,29,Yes,Healthcare,9.0,Low,3.0,A
Male,45,Yes,Artist,1.0,Average,4.0,C
Male,61,Yes,Artist,0.0,Low,1.0,B
Male,52,Yes,Entertainment,1.0,Average,4.0,A
Female,49,Yes,Homemaker,14.0,Low,1.0,A
Female,31,No,Healthcare,1.0,Low,5.0,C
Male,42,No,Entertainment,1.0,Low,3.0,A
Male,51,Yes,Engineer,1.0,Average,5.0,C
Female,42,Yes,Healthcare,8.0,Low,1.0,D
Male,29,Yes,Doctor,1.0,Low,4.0,C
Female,33,Yes,Healthcare,8.0,Low,1.0,A
Female,21,No,Healthcare,0.0,Low,4.0,D
Male,35,No,Artist,9.0,Average,3.0,B
Female,42,Yes,Doctor,0.0,Low,1.0,A
Female,41,Yes,Artist,2.0,Low,1.0,C
Male,39,Yes,Artist,0.0,Low,3.0,B
Female,28,No,Doctor,14.0,Low,1.0,A
Female,61,Yes,Doctor,1.0,Average,2.0,B
Male,62,Yes,Artist,0.0,Average,4.0,C
Male,65,Yes,Entertainment,1.0,Average,2.0,C
Male,45,Yes,Doctor,1.0,Average,2.0,A
Female,26,Yes,Engineer,9.0,Low,2.0,B
Female,25,Yes,Artist,4.0,Low,5.0,C
Female,45,Yes,Artist,1.0,Average,4.0,C
Male,43,No,Executive,0.0,High,4.0,B
Male,49,Yes,Executive,1.0,High,3.0,C
Male,55,Yes,Artist,1.0,Average,2.0,C
Female,37,Yes,Artist,3.0,Low,1.0,B
Male,65,Yes,Entertainment,1.0,High,2.0,C
Female,39,No,Engineer,0.0,Low,3.0,A
Female,40,Yes,Artist,2.0,Average,2.0,C
Male,72,Yes,Entertainment,1.0,Average,3.0,C
Female,38,No,Homemaker,5.0,Low,1.0,B
Male,26,No,Marketing,0.0,Low,5.0,D
Male,30,Yes,Doctor,1.0,Low,3.0,D
Male,57,Yes,Marketing,1.0,Low,4.0,A
Female,31,Yes,Healthcare,1.0,Low,1.0,D
Male,39,Yes,Artist,0.0,Low,1.0,A
Female,30,No,Engineer,0.0,Low,4.0,A
Female,43,No,Artist,0.0,Average,3.0,A
Male,27,Yes,Healthcare,8.0,Low,1.0,C
Female,46,No,Artist,0.0,Average,4.0,C
Male,43,No,Artist,1.0,Low,2.0,B
Male,28,No,Entertainment,8.0,Average,4.0,D
Male,43,Yes,Entertainment,9.0,Low,1.0,D
Female,28,Yes,Healthcare,1.0,Low,3.0,D
Female,30,No,Engineer,0.0,Low,1.0,B
Male,58,No,Healthcare,4.0,Low,2.0,D
Female,38,Yes,Engineer,8.0,Low,4.0,A
Female,31,Yes,Artist,1.0,Low,4.0,D
Male,32,No,Executive,4.0,Average,5.0,D
Male,45,Yes,Artist,4.0,Average,4.0,C
Male,66,Yes,Artist,1.0,Low,3.0,A
Female,51,Yes,Artist,1.0,Average,3.0,C
Male,46,Yes,Artist,11.0,Average,5.0,C
Male,20,No,Healthcare,1.0,Low,6.0,D
Female,84,No,Lawyer,1.0,High,2.0,C
Male,57,Yes,Entertainment,8.0,Average,5.0,A
Female,33,No,Doctor,0.0,Low,1.0,A
Male,25,No,Marketing,3.0,Low,3.0,D
Male,77,Yes,Lawyer,1.0,Low,1.0,C
Male,30,Yes,Healthcare,1.0,Low,2.0,A
Male,23,No,Healthcare,6.0,Low,5.0,D
Female,43,Yes,Artist,2.0,Low,4.0,B
Male,39,Yes,Entertainment,5.0,Low,1.0,A
Male,29,No,Executive,1.0,High,2.0,D
Female,45,No,Engineer,2.0,Low,2.0,D
Male,48,No,Executive,2.0,High,2.0,D
Male,27,No,Entertainment,0.0,Average,4.0,A
Female,60,No,Entertainment,9.0,Low,4.0,B
Male,45,Yes,Entertainment,4.0,Average,3.0,B
Male,33,No,Doctor,1.0,Low,4.0,C
Male,51,Yes,Artist,8.0,Low,5.0,A
Male,67,No,Executive,2.0,High,1.0,C
Male,38,Yes,Artist,9.0,Average,2.0,C
Female,40,Yes,Doctor,0.0,Low,1.0,C
Female,45,Yes,Artist,5.0,Average,2.0,B
Male,48,Yes,Artist,0.0,Average,4.0,C
Female,69,No,Lawyer,0.0,Average,2.0,C
Male,21,No,Healthcare,9.0,Low,5.0,D
Male,72,Yes,Artist,0.0,Low,3.0,C
Female,21,No,Marketing,1.0,Low,5.0,D
Female,48,Yes,Artist,1.0,Low,1.0,A
Male,28,No,Healthcare,1.0,Low,5.0,D
Male,55,Yes,Entertainment,1.0,Low,2.0,A
Female,56,Yes,Artist,0.0,Low,2.0,C
Male,50,Yes,Doctor,1.0,Low,2.0,C
Male,21,No,Healthcare,1.0,Low,4.0,D
Male,18,No,Healthcare,0.0,Low,6.0,D
Male,68,Yes,Lawyer,0.0,High,2.0,B
Male,47,Yes,Artist,13.0,Low,1.0,C
Male,75,No,Lawyer,1.0,High,2.0,B
Male,50,Yes,Artist,3.0,Average,4.0,C
Male,31,Yes,Healthcare,0.0,Low,4.0,D
Female,30,Yes,Artist,0.0,Low,3.0,A
Female,41,Yes,Artist,0.0,Low,4.0,A
Female,35,No,Healthcare,2.0,Low,1.0,A
Male,37,Yes,Healthcare,0.0,Low,1.0,D
Male,50,Yes,Doctor,0.0,Average,3.0,C
Male,36,Yes,Artist,0.0,Average,2.0,C
Female,26,No,Marketing,3.0,Low,3.0,A
Male,22,No,Healthcare,0.0,Low,4.0,D
Female,19,No,Healthcare,0.0,Low,3.0,D
Female,45,Yes,Artist,0.0,Average,5.0,C
Female,31,No,Doctor,0.0,Low,4.0,D
Male,56,Yes,Artist,0.0,Average,3.0,C
Female,25,Yes,Healthcare,1.0,Low,3.0,B
